,N,Bx,By,Bz,Ex,Ey,Ez
3689,1000000,2.89E-14,-2.27E-13,1.37E-10,1319.837153,-2122.368689,-196818.0473
3690,1000000,7.94E-15,1.86E-13,1.36E-10,585.6418052,-236.2624358,-194143.6263
3691,1000000,3.83E-13,-8.10E-13,1.36E-10,1228.592614,-9110.886632,-190778.9045
3692,1000000,1.25E-13,-1.38E-13,1.37E-10,-2360.039656,-9876.691475,-199139.9606
3693,1000000,-2.50E-13,-1.55E-13,1.36E-10,2170.488629,-4487.750133,-190437.8389
3694,1000000,2.93E-13,4.21E-13,1.37E-10,7842.742837,8528.233832,-197496.8478
3695,1000000,-4.94E-13,-1.08E-13,1.36E-10,-6252.80926,-6948.464121,-190247.5747
3696,1000000,-2.38E-15,3.41E-13,1.38E-10,6178.164933,11809.06519,-200683.7334
3697,1000000,2.59E-13,-3.16E-13,1.36E-10,-4337.768037,312.137387,-192440.9353
3698,1000000,2.26E-14,-4.05E-13,1.37E-10,-7757.423062,-119.3389716,-201215.2363
3699,1000000,-7.88E-13,4.28E-14,1.36E-10,-8155.969811,1344.772645,-190670.5583
3700,1000000,-3.56E-14,4.61E-14,1.38E-10,-2645.258497,4999.84298,-198324.0909
3701,1000000,-3.67E-13,-2.41E-13,1.35E-10,-16454.68344,-3969.000794,-189582.16
3702,1000000,-3.73E-13,1.47E-14,1.36E-10,-8184.821528,-283.1811104,-192755.7697
3703,1000000,-3.30E-14,-2.55E-13,1.35E-10,-1128.445581,-1361.054861,-192225.6176
3704,1000000,1.11E-13,7.58E-14,1.37E-10,9348.29679,3813.508524,-193111.0419
3705,1000000,-5.98E-13,9.24E-14,1.36E-10,-11643.72528,-6245.494083,-194398.2591
3706,1000000,-1.18E-13,5.03E-13,1.36E-10,-1897.506599,5937.112199,-195470.0153
3707,1000000,-8.09E-13,4.01E-13,1.35E-10,-21992.96033,9778.630005,-189237.402
3708,1000000,1.64E-13,-6.22E-13,1.36E-10,3905.381127,-18820.96735,-193528.78
3709,1000000,3.75E-13,2.28E-13,1.35E-10,7280.493696,5087.125342,-191661.3737
3710,1000000,4.17E-13,1.27E-13,1.37E-10,10037.52056,4726.994806,-189532.0916
3711,1000000,2.67E-13,-2.65E-13,1.36E-10,6694.372399,3153.460118,-190422.9936
3712,1000000,-2.76E-13,1.38E-13,1.36E-10,-6485.099582,4379.403166,-187045.9776
3713,1000000,-3.60E-13,-1.36E-13,1.36E-10,-3250.270177,-1525.012523,-190427.0593
