Parameters:
box_length	1437.49
n_particles	251
n_eqil_steps	10000000
speed_l	1
speed_u	2
density	1.4e-15
charge_density	1.5

radii,masses,position(x),position(y),position(z),velocity(x),velocity(y),velocity(z),initial high e,final high e,final low e,charge
50.1737,7.40705e-10,1209.48,226.106,676.642,0.887718,0.0340736,2.40822,47452,0,813,46639
61.3245,1.35244e-09,149.015,1287.05,299.117,1.27492,-0.333028,-0.988457,70887,0,892,69995
32.0016,1.92191e-10,112.621,1209.91,66.9722,1.73133,-0.3773,-2.02731,19304,0,981,18323
36.0946,2.75769e-10,179.974,1044.97,1079.93,-0.368381,1.35915,3.27026,24558,0,837,23721
39.7083,3.67163e-10,286.346,140.855,1310.61,-0.288313,-5.42652,-1.47137,29721,0,857,28864
44.5205,5.17485e-10,1362.53,1121,910.7,1.26716,1.30313,1.37275,37361,0,843,36518
36.8101,2.92493e-10,525.08,787.523,582.41,0.309272,-4.41917,-1.55108,25541,0,803,24738
54.2956,9.38666e-10,687.103,426.39,103.449,0.901679,1.24632,-1.63636,55569,0,848,54721
61.2411,1.34693e-09,1182.76,755.462,1128.79,-0.206374,-3.87218,0.482049,70695,0,885,69810
37.5155,3.09634e-10,182.877,1390.77,561.811,1.18164,0.462419,-1.33371,26529,0,808,25721
36.0037,2.73689e-10,757.729,88.5149,847.404,-5.74789,-3.7238,0.0460096,24434,0,882,23552
51.1021,7.82589e-10,1106.91,183.459,1337.4,-0.0611138,0.589679,-0.231631,49224,0,879,48345
43.2419,4.74166e-10,382.284,862.321,803.268,0.794229,-1.09932,0.61667,35246,0,805,34441
48.4757,6.68021e-10,1345.2,1017.49,934.502,0.480361,-0.207431,-1.61494,44295,0,859,43436
34.9296,2.49918e-10,522.292,265.374,631.878,-1.43724,-0.248678,-1.55521,22998,0,827,22171
38.9715,3.47104e-10,953.484,1109.19,1371.88,0.142084,0.241342,0.84943,28628,0,834,27794
53.6789,9.07041e-10,895.367,946.404,928.175,-1.21012,-0.604224,-0.0513365,54314,0,863,53451
52.6257,8.54693e-10,876.924,1180.89,95.4832,1.61762,-1.78556,-0.507746,52203,0,838,51365
